"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","has 200 response code","API tests","Thu Apr 10 12:17:33 EEST 2025","passed","Thu Apr 10 12:17:33 EEST 2025","Endpoint /Books > GET all Books","api-tests\get-books.spec.ts","",""
"","5","has 200 response code","chromium","Sat Apr 05 12:14:28 EEST 2025","failed","Sat Apr 05 12:14:28 EEST 2025","Endpoint /books > GET all books","get-books.spec.ts","",""
"","2646","Login #5: ""standard_user"" should fail","UI tests","Thu Apr 10 12:18:02 EEST 2025","passed","Thu Apr 10 12:18:05 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","492","Login #6: ""locked_out_user"" should fail","chromium","Thu Apr 10 10:05:25 EEST 2025","passed","Thu Apr 10 10:05:26 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","2319","Login #2: """" should fail","","Thu Apr 10 12:27:43 EEST 2025","passed","Thu Apr 10 12:27:45 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","6","has 200 response code","firefox","Sat Apr 05 11:58:08 EEST 2025","failed","Sat Apr 05 11:58:08 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
"","3","should return a non-empty array","chromium","Mon Apr 07 23:45:28 EEST 2025","passed","Mon Apr 07 23:45:28 EEST 2025","GET request to authors","get-authors.spec.ts","",""
"","4","has 200 response code","","Thu Apr 10 13:46:39 EEST 2025","passed","Thu Apr 10 13:46:39 EEST 2025","Endpoint /Books > GET all Books","api-tests\get-books.spec.ts","",""
"","7","should return status 200","webkit","Sat Apr 05 11:51:26 EEST 2025","passed","Sat Apr 05 11:51:26 EEST 2025","GET /authors/:id","get-authors.spec.ts","",""
"","7","has response data matching payload","chromium","Mon Apr 07 19:01:01 EEST 2025","passed","Mon Apr 07 19:01:01 EEST 2025","POST Books","get-books.spec.ts","",""
"","5","has 200 response code","chromium","Mon Apr 07 19:14:05 EEST 2025","passed","Mon Apr 07 19:14:05 EEST 2025","Endpoint /Books > DELETE Books by ID","get-books.spec.ts","",""
"","5","should return status 200","chromium","Sat Apr 05 11:51:23 EEST 2025","passed","Sat Apr 05 11:51:23 EEST 2025","GET /authors/:id","get-authors.spec.ts","",""
"","2995","Add all elements to cart","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:17 EEST 2025","addElementToCart","login.spec.ts","",""
"","4","has 200 response code","webkit","Sat Apr 05 11:58:12 EEST 2025","failed","Sat Apr 05 11:58:12 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
